,Unnamed: 0,original_image,cropped_img_name,taxonomy_cat,color_tonks,color_prob,pattern_tonks,pattern_prob
1950,1950,Summer_Outfits_Tumblr_flatlays_00000491.jpg,Summer_Outfits_Tumblr_flatlays_00000491_1.jpg,shoes,yellow,0.9539332986,solid,0.9976026416
1951,1951,Summer_Outfits_Tumblr_flatlays_00000494.jpg,Summer_Outfits_Tumblr_flatlays_00000494_0.jpg,shoes,black,0.9999998808,geometric,0.6570247412
1952,1952,Summer_Outfits_Tumblr_flatlays_00000494.jpg,Summer_Outfits_Tumblr_flatlays_00000494_1.jpg,shoes,black,0.999999404,geometric,0.936455667
1953,1953,Summer_Outfits_Tumblr_flatlays_00000512.jpg,Summer_Outfits_Tumblr_flatlays_00000512_0.jpg,shoes,grey,0.9997151494,striped,0.9999943972
1954,1954,Summer_Outfits_Tumblr_flatlays_00000512.jpg,Summer_Outfits_Tumblr_flatlays_00000512_1.jpg,shoes,grey,0.999938488,striped,0.9999982119
1955,1955,Summer_Outfits_Tumblr_flatlays_00000515.jpg,Summer_Outfits_Tumblr_flatlays_00000515_1.jpg,shoes,grey,1,melange,0.9992374182
1956,1956,Summer_Outfits_Tumblr_flatlays_00000515.jpg,Summer_Outfits_Tumblr_flatlays_00000515_3.jpg,shoes,grey,1,melange,0.9981968999
1957,1957,Summer_Outfits_Tumblr_flatlays_00000520.jpg,Summer_Outfits_Tumblr_flatlays_00000520_0.jpg,shoes,grey,1,striped,0.9902267456
1958,1958,Summer_Outfits_Tumblr_flatlays_00000520.jpg,Summer_Outfits_Tumblr_flatlays_00000520_3.jpg,shoes,grey,0.9999992847,striped,0.9997711778
1959,1959,Summer_Outfits_Tumblr_flatlays_00000525.jpg,Summer_Outfits_Tumblr_flatlays_00000525_1.jpg,shoes,white,0.9999991655,geometric,0.9373297095
1960,1960,Summer_Outfits_Tumblr_flatlays_00000525.jpg,Summer_Outfits_Tumblr_flatlays_00000525_2.jpg,shoes,white,1,geometric,0.9812621474
1961,1961,Summer_Outfits_Tumblr_flatlays_00000527.jpg,Summer_Outfits_Tumblr_flatlays_00000527_0.jpg,shoes,black,0.9999908209,solid,0.9946542978
1962,1962,Summer_Outfits_Tumblr_flatlays_00000527.jpg,Summer_Outfits_Tumblr_flatlays_00000527_1.jpg,shoes,black,1,dotted,0.9735310078
1963,1963,Summer_Outfits_Tumblr_flatlays_00000528.jpg,Summer_Outfits_Tumblr_flatlays_00000528_0.jpg,shoes,brown,0.9999984503,camo,0.9863254428
1964,1964,Summer_Outfits_Tumblr_flatlays_00000528.jpg,Summer_Outfits_Tumblr_flatlays_00000528_1.jpg,shoes,brown,0.9999543428,camo,0.990519166
1965,1965,Summer_Outfits_Tumblr_flatlays_00000532.jpg,Summer_Outfits_Tumblr_flatlays_00000532_0.jpg,shoes,beige,0.7164631486,striped,0.5206860304
1966,1966,Summer_Outfits_Tumblr_flatlays_00000532.jpg,Summer_Outfits_Tumblr_flatlays_00000532_1.jpg,shoes,green,0.9828152061,striped,0.9804345965
1967,1967,Summer_Outfits_Tumblr_flatlays_00000547.jpg,Summer_Outfits_Tumblr_flatlays_00000547_0.jpg,shoes,white,0.9999997616,melange,0.9021916986
1968,1968,Summer_Outfits_Tumblr_flatlays_00000547.jpg,Summer_Outfits_Tumblr_flatlays_00000547_3.jpg,shoes,white,0.9996259212,lace,0.9923291802
1969,1969,Winter_Outfit_Flat_Lay_00000007.jpg,Winter_Outfit_Flat_Lay_00000007_1.jpg,shoes,orange,0.7724763751,geometric,0.9970869422
1970,1970,Winter_Outfit_Flat_Lay_00000007.jpg,Winter_Outfit_Flat_Lay_00000007_2.jpg,shoes,orange,0.9575414658,striped,0.9852745533
1971,1971,Winter_Outfit_Flat_Lay_00000008.jpg,Winter_Outfit_Flat_Lay_00000008_1.jpg,shoes,white,0.5386781693,dotted,0.8873298764
1972,1972,Winter_Outfit_Flat_Lay_00000008.jpg,Winter_Outfit_Flat_Lay_00000008_2.jpg,shoes,grey,0.9999777079,dotted,0.9998528957
1973,1973,Winter_Outfit_Flat_Lay_00000018.jpg,Winter_Outfit_Flat_Lay_00000018_0.jpg,shoes,grey,0.9994174242,melange,0.9289035201
1974,1974,Winter_Outfit_Flat_Lay_00000018.jpg,Winter_Outfit_Flat_Lay_00000018_1.jpg,shoes,grey,0.8586398959,striped,0.865606904
1975,1975,Winter_Outfit_Flat_Lay_00000023.jpg,Winter_Outfit_Flat_Lay_00000023_1.jpg,shoes,white,0.9998223186,striped,0.9016337395
1976,1976,Winter_Outfit_Flat_Lay_00000023.jpg,Winter_Outfit_Flat_Lay_00000023_2.jpg,shoes,blue,0.9994481206,gingham,0.5729293823
1977,1977,Winter_Outfit_Flat_Lay_00000036.jpg,Winter_Outfit_Flat_Lay_00000036_0.jpg,shoes,navy,0.692261219,striped,0.5098455548
1978,1978,Winter_Outfit_Flat_Lay_00000036.jpg,Winter_Outfit_Flat_Lay_00000036_1.jpg,shoes,navy,0.8986214399,striped,0.9994277358
1979,1979,Winter_Outfit_Flat_Lay_00000063.jpg,Winter_Outfit_Flat_Lay_00000063_0.jpg,shoes,brown,0.9999934435,camo,0.5098927021
1980,1980,Winter_Outfit_Flat_Lay_00000063.jpg,Winter_Outfit_Flat_Lay_00000063_2.jpg,shoes,brown,1,striped,0.6283205748
1981,1981,Winter_Outfit_Flat_Lay_00000086.jpg,Winter_Outfit_Flat_Lay_00000086_0.jpg,shoes,pink,1,melange,0.9882733226
1982,1982,Winter_Outfit_Flat_Lay_00000086.jpg,Winter_Outfit_Flat_Lay_00000086_2.jpg,shoes,pink,1,melange,0.9659953713
1983,1983,Winter_Outfit_Flat_Lay_00000089.jpg,Winter_Outfit_Flat_Lay_00000089_0.jpg,shoes,pink,0.9999917746,melange,0.693015337
1984,1984,Winter_Outfit_Flat_Lay_00000089.jpg,Winter_Outfit_Flat_Lay_00000089_2.jpg,shoes,pink,0.7530336976,striped,0.9957427382
1985,1985,Winter_Outfit_Flat_Lay_00000097.jpg,Winter_Outfit_Flat_Lay_00000097_1.jpg,shoes,grey,0.999999404,gingham,0.7767803669
1986,1986,Winter_Outfit_Flat_Lay_00000097.jpg,Winter_Outfit_Flat_Lay_00000097_2.jpg,shoes,grey,0.9999824762,melange,0.9783546925
1987,1987,Winter_Outfit_Flat_Lay_00000099.jpg,Winter_Outfit_Flat_Lay_00000099_1.jpg,shoes,white,0.9994490743,striped,0.9999845028
1988,1988,Winter_Outfit_Flat_Lay_00000099.jpg,Winter_Outfit_Flat_Lay_00000099_2.jpg,shoes,white,0.9437457919,striped,0.9999966621
1989,1989,Winter_Outfit_Flat_Lay_00000102.jpg,Winter_Outfit_Flat_Lay_00000102_0.jpg,shoes,brown,1,striped,0.3869110048
1990,1990,Winter_Outfit_Flat_Lay_00000102.jpg,Winter_Outfit_Flat_Lay_00000102_1.jpg,shoes,brown,0.9999970198,striped,0.9932009578
1991,1991,Winter_Outfit_Flat_Lay_00000107.jpg,Winter_Outfit_Flat_Lay_00000107_0.jpg,shoes,white,0.9985843897,striped,0.9999991655
1992,1992,Winter_Outfit_Flat_Lay_00000107.jpg,Winter_Outfit_Flat_Lay_00000107_2.jpg,shoes,white,0.9917634726,striped,0.9998722076
1993,1993,Winter_Outfit_Flat_Lay_00000109.jpg,Winter_Outfit_Flat_Lay_00000109_0.jpg,shoes,black,0.9536762834,melange,0.9962111712
1994,1994,Winter_Outfit_Flat_Lay_00000109.jpg,Winter_Outfit_Flat_Lay_00000109_2.jpg,shoes,grey,0.9873606563,melange,0.6480294466
1995,1995,Winter_Outfit_Flat_Lay_00000137.jpg,Winter_Outfit_Flat_Lay_00000137_0.jpg,shoes,purple,1,striped,0.9064055085
